"id","plaid_id","name","user_id"
"a0pb0uvixriasvgtx973zrtd","14002004","Healthcare, Physicians, Psychiatrists","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"a0vi23yrxz9vgiy5f7h7xlso","13005013","Food and Drink, Restaurants, Moroccan","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"a240y1baeqle4n9oeaavrrl9","19012001","Shops, Clothing and Accessories, Women's Store","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"a42ik9xzz1o323uq7z239fz9","14002012","Healthcare, Physicians, Neurologists","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"a4hktujqz24ty7yxudu9cm8f","13005005","Food and Drink, Restaurants, Swiss","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"a4n2t2wgj5iqneds53vcyi0j","18045007","Service, Personal Care, Manicures and Pedicures","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"a4yevvpl5gfyzsg4lftgke26","18064000","Service, Textiles","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"a6jt5nr8ss4r4hze3ud4mazp","17027001","Recreation, Parks, Playgrounds","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"a6vyupv0b6sl8nov740v822u","21010004","Transfer, Third Party, PayPal","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"a8ldp0z3ju1wna9hsqenippa","21010011","Transfer, Third Party, Plaid","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"a9txlgymt48g8hskntke2u74","18010000","Service, Chemicals and Gasses","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"adk8acz6757qt0t3p03zde96","13005045","Food and Drink, Restaurants, Caribbean","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"aec58uxn0zd94tmo2q85k5qo","17000000","Recreation","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"agh3gyga13ndu7ap6ymegqpd","12008006","Community, Education, Dance Schools","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ah1r6hubc1nm050n9hcddieg","18019000","Service, Events and Event Planning","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"alko3gxx8py5qz2rrl4egr5k","18074000","Service, Art and Graphic Design","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"anjqhfb7k6ohq454etfdefr4","19040008","Shops, Outlet, Accessories Store","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"apkxyoozc2qi2uhi9d1lbe07","19008000","Shops, Boat Dealers","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"aq0nfcmgstw5bjxiq4vhk8mv","18037015","Service, Manufacturing, Rubber Products","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"aqzlg8t2rku2zxz9e6s7ip4m","17006000","Recreation, Boating","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"arlsc17189truzhrw1ra0fbc","18024001","Service, Home Improvement, Upholstery","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"arqpu3uq9e2t6e7edtdb6o0w","17031000","Recreation, Racquetball","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"as0s33sq6wj7e4fk7rf6ijeu","18024017","Service, Home Improvement, Home Inspection Services","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"as7gpjkcj7aea4ab7tbrprls","13004005","Food and Drink, Nightlife, Hookah Lounges","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"awg6a6mrhv7kyt99w3jx9dh7","22012005","Travel, Lodging, Cottages and Cabins","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"b1eg3plbhkv3c0bkwx1hmtve","18024014","Service, Home Improvement, Kitchens","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"b3fqncxh6p89enm67iy2z6nd","12011000","Community, Housing Assistance and Shelters","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"b4zdsj4lzzv9kf25v4081yl2","17024000","Recreation, Miniature Golf","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"b6f03ka3gszlz5v24vkw1krp","12008000","Community, Education","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"b6vor1f0u1eenjgz7bs9wmq0","12008004","Community, Education, Fraternities and Sororities","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"b8qh69g2je9o9tmqxsc8mj1t","22001000","Travel, Airlines and Aviation Services","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"b919npi1yga1gikns1rzyfqz","22006000","Travel, Car Service","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"b9ey6wecqxri4japmkbc4hyr","19040002","Shops, Outlet, Swimwear","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"b9gx11lvpj2nfq4phnicagwz","18024005","Service, Home Improvement, Roofers","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"b9nj3qmoyyqlnwio7e8toris","17003000","Recreation, Baseball","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bb65u7jpwnum05mj1s3r8kmo","13005057","Food and Drink, Restaurants, American","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bdeg3hbnijqhfwxqcmx4tfjt","17042000","Recreation, Sports Clubs","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bf5ys6wtgvq47okxkyzmjvx0","17025003","Recreation, Outdoors, Lakes","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bhpfgzvzv78cx49n9w9nsx5n","18020011","Service, Financial, Business Brokers and Franchises","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bi46hakx4irpk0ugp72793g6","18049000","Service, Rail","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bionsp5bgrf47p1pgzd8fjbt","17046000","Recreation, Water Sports","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bjo9ief75379po9lu28s77s4","18013009","Service, Construction, Carpet and Flooring","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bkkxx0gcw1hrobbzadogbq1k","14001016","Healthcare, Healthcare Services, Alternative Medicine","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bkzpj9gt42ohdkinyrspwz6i","19007000","Shops, Bicycles","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bnt84fl0wzsi1r98azxouloy","13004001","Food and Drink, Nightlife, Strip Club","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bockmbbxquk85tpdejtchvi5","13005056","Food and Drink, Restaurants, Asian","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"btbhyn121efjmmj639n89mf4","18012001","Service, Computers, Maintenance and Repair","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"btrzq5r5ht6x2vbzr21o59hc","12002002","Community, Assisted Living Services, Caretakers","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bu7oc7vslji82qffa2qlx35r","12015002","Community, Organizations and Associations, Environmental","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bv6wlrjmkjyb94htzn3shxqu","13005011","Food and Drink, Restaurants, Portuguese","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"byblpv2xgpsq7e7q4r606h49","17002000","Recreation, Athletic Fields","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
